"CustomerName","CustomerId","Domain","LicenseSKU","SkuPartNumber","ActiveUnits","ConsumedUnits","AvailableUnits","SuspendedUnits","WarningUnits","Status"
"OTU WA CNE - 103988","6ad8c3d0-d2a5-4679-886a-62520920bc6b","otuwacne103988.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103988","6ad8c3d0-d2a5-4679-886a-62520920bc6b","otuwacne103988.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103988","6ad8c3d0-d2a5-4679-886a-62520920bc6b","otuwacne103988.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103988","6ad8c3d0-d2a5-4679-886a-62520920bc6b","otuwacne103988.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103987","d10bb18b-1445-4d3c-9013-b6816b01a14d","otuwacne103987.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103987","d10bb18b-1445-4d3c-9013-b6816b01a14d","otuwacne103987.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103987","d10bb18b-1445-4d3c-9013-b6816b01a14d","otuwacne103987.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103987","d10bb18b-1445-4d3c-9013-b6816b01a14d","otuwacne103987.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103986","2f2346f5-7774-44af-bff8-48424e5098a4","otuwacne103986.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103986","2f2346f5-7774-44af-bff8-48424e5098a4","otuwacne103986.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103986","2f2346f5-7774-44af-bff8-48424e5098a4","otuwacne103986.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103986","2f2346f5-7774-44af-bff8-48424e5098a4","otuwacne103986.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103985","1c7c5c7f-8a07-43d2-a34b-018e9dccf1b5","otuwacne103985.onmicrosoft.com",,,"1","1","0","1","0","OK"
